Guṇatraya-vibhāga-yoga,Gunatraya-vibhaga-yoga,,,
guru,guru ,,,
Guru Granth Sāhib,Guru Granth Sahib,added 22.05.24,,
Guru Mahārāja,Guru Maharaj,,,
Guru Nānak(dev(jī)),Guru Nanak(dev(ji)),added dev(jī) 20.06.23,,
guru-aparādha,guru-aparadha,,,
guru-āratī ,guru-arati ,,,
Guru-āratī ,Guru-arati ,added 19.12.23,,
guru-bhakta,guru-bhakta,,,
guru-bhakti,guru-bhakti,,,
guru-dakṣiṇā,guru-dakshina,,,
guru-kṛpā,guru-kripa,,,
guru-kula,guru-kula,added 13.04.24,,
guru-mā,guru-ma,added 17.05.24,,
guru-maṇḍala,guru-mandala,,,
guru-mantra,guru-mantra,,,
guru-paramparā,guru-parampara,,,
guru-pūjā,guru-puja,,,
guru-śaraṇāgati,guru-sharanagati,,,
guru-sevā,guru-seva,,,
guru-śiśya,guru-shishya,,,
guru-sthāna,guru-sthana,,,
Guru-stotram ,Guru-stotram ,added 24.03.24,,
guru-tattva,guru-tattva,,,
guru-upadeśa,guru-upadesha,,,
Gurudev,Gurudev,when referring to Guruji,,
gurudeva,gurudev,in a general sense,,
Guruji-gāyatrī-mantra,Guruji-gayatri-mantra,,,
gurukula,gurukula,,,
Gurupūrnimā,Gurupurnima,,,
halāhala,halahala,,,
haṁsa,hamsa,,,
Haṁsa,Hamsa ,,,
Hanumān,Hanuman,,,
Hanumān Cālīsā,Hanuman Chalisa,,,
Hanumān Jayantī,Hanuman Jayanti,,,
Hare Kṛṣṇa mahā-mantra,Hare Krishna maha-mantra,,,
Hari,Hari,,,
Hari Bhakta Sampradāya ,Hari Bhakta Sampradaya ,added 10.08.23,,
Hari Pūrṇa Bhakta Śiva,Hari Purna Bhakta Shiva,,,
Hari-darśana,Hari-darshana,added 19.06.24,,
Hari-hara,Hari-hara,,,
Hari-kathā,Hari-katha,,,
Hari-nāma,Hari-nama,,,
Haribol,Haribol,,,
Hastināpura,Hastinapura,,,
haṭha-yoga,hatha-yoga,,,
havana,havana,,,
Havana,Havana,,,
havana-samāgrī,havana samagri,,,
Hayagrīva,Hayagriva,,,
Hayagrīva Jayantī,Hayagriva Jayanti,,,
he kṛṣṇa karuṇā-sindhu dīna-bandhu jagat-pate | gopeśa gopikā-kānta rādhā-kānta namo ’stu te ||,he krishna karuna-sindhu dina-bandhu jagat-pate gopesha gopika-kanta radha-kanta namo 'stu te ,added 03.08.23,,
Himālayas,Himalayas,25.05,,
hīra-śaṅkha,hira-shanka,added 03.08.23,,
Hiraṇyagarbha,Hiranyagarbha,,,
Hiraṇyagarbha-liṅgam,Hiranyagarbha-lingam,,,
Hiraṇyakaśipu,Hiranyakashipu,,,
Hiraṇyākṣa,Hiranyaksha,,,
hita,hita,added 10.02.24,a term of Vedānta meaning method or path,
Holikā,Holika,,,
